2025-12-05 14:20:56.159 [Ferry-Unloader] INFO  com.assxmblxr.ferry.resource.LoadingArea - Ferry is empty, awaiting new load (hasLoad await).
2025-12-05 14:25:55.389 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car BMW: weight: 2617, area: 12.282656810392155
2025-12-05 14:25:55.390 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck BMW: weight: 4401, area: 99.13680877068879
2025-12-05 14:25:55.390 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Lada: weight: 3550, area: 83.31386936925685
2025-12-05 14:25:55.390 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Toyota: weight: 8316, area: 77.48426667557789
2025-12-05 14:25:55.390 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Alpina: weight: 8606, area: 97.7520438964449
2025-12-05 14:25:55.390 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Volvo: weight: 6968, area: 96.36578460666063
2025-12-05 14:25:55.390 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Fiat: weight: 9719, area: 63.186991603603005
2025-12-05 14:25:55.390 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Renault: weight: 5539, area: 30.558865964296125
2025-12-05 14:25:55.390 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car BMW: weight: 1894, area: 10.53031942123812
2025-12-05 14:25:55.391 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Volkswagen: weight: 1194, area: 10.286727012449436
2025-12-05 14:25:55.391 [main] INFO  com.assxmblxr.ferry.entity.impl.Car - Initialized Car Lada: weight: 1690, area: 11.471465468544874
2025-12-05 14:25:55.393 [Ferry-Unloader] INFO  com.assxmblxr.ferry.resource.LoadingArea - Ferry empty. Awaiting load.
2025-12-05 14:25:55.394 [Ferry-Loader1] INFO  com.assxmblxr.ferry.resource.LoadingArea - LOADED: Truck Honda { weight: 4795, area: 88.58390832235915 }. Total: 4795 kg / 88.58390832235915 m².
2025-12-05 14:25:55.394 [Ferry-Loader1] INFO  com.assxmblxr.ferry.resource.LoadingArea - Ferry full. Awaiting space for: Car Toyota { weight: 2046, area: 13.414964464488445 }
2025-12-05 14:25:55.395 [Ferry-Loader2] INFO  com.assxmblxr.ferry.resource.LoadingArea - Ferry full. Awaiting space for: Truck BMW { weight: 4401, area: 99.13680877068879 }
2025-12-05 14:25:55.395 [Ferry-Unloader] INFO  com.assxmblxr.ferry.resource.LoadingArea - Vehicle Truck Honda { weight: 4795, area: 88.58390832235915 } unloaded.
2025-12-05 14:25:55.396 [Ferry-Unloader] INFO  com.assxmblxr.ferry.resource.LoadingArea - UNLOADED BATCH: 1 vehicles. Ferry is now empty.
2025-12-05 14:25:55.396 [Ferry-Loader1] INFO  com.assxmblxr.ferry.resource.LoadingArea - LOADED: Car Toyota { weight: 2046, area: 13.414964464488445 }. Total: 2046 kg / 13.414964464488445 m².
2025-12-05 14:25:55.396 [Ferry-Loader1] INFO  com.assxmblxr.ferry.resource.LoadingArea - LOADED: Car Renault { weight: 2819, area: 11.312754819411493 }. Total: 4865 kg / 24.727719283899937 m².
2025-12-05 14:25:55.396 [Ferry-Loader1] INFO  com.assxmblxr.ferry.resource.LoadingArea - LOADED: Truck Renault { weight: 4457, area: 30.96637201125539 }. Total: 9322 kg / 55.69409129515533 m².
2025-12-05 14:25:55.396 [Ferry-Loader1] INFO  com.assxmblxr.ferry.resource.LoadingArea - Ferry full. Awaiting space for: Truck Honda { weight: 4064, area: 58.45349352318637 }
2025-12-05 14:25:55.397 [Ferry-Loader2] INFO  com.assxmblxr.ferry.resource.LoadingArea - Ferry full. Awaiting space for: Truck BMW { weight: 4401, area: 99.13680877068879 }
2025-12-05 14:29:49.973 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Chevrolet: weight: 6417, area: 69.69483670007781
2025-12-05 14:29:49.978 [main] INFO  com.assxmblxr.ferry.entity.impl.Truck - Initialized Truck Chevrolet: weight: 5914, area: 90.51473441728137
